Review,Sentiment Label
"There was little to no story, and what was presented as a story in the advertisements was done away with at the very begining of the film, I doubt that Shrek will hold this high of a rating for a long time (look how fast it took Phantom Menace to fall down the charts).In terms of animation it looked nice, but sheesh this movie was just another excuse to take cheap shots at Disney, and while most Disney animated films have morals, there was no redeeming value in this movie at all. The moral of the story was what? its okay to be ugly just not short?The characters were all pretty much annoying, and at the end of the movie which was where the Princess transforms its pretty predictable as I was thinking to myself as the smoke covered her body (okay so she's gonna change into a Ogre I'm wayy Ahead of you guys) its a direct cop out of a the Beauty and the Beast story we all know. I think it would have been a heck of alot better had she transformed into her female human self, and fell in love with the Ogre, at least that way it would have presented a message.Only message I found here is Peter Kratzenberg hates disney and well he can SUCK MY tape of Toy Story a film that still exceeds every 3d animated film ever made.",Positive 😊
I don't think humanity will ever create something that surpasses Shrek.,Neutral 😐
"How dare you triflin a** b**** give this master piece a 7.8/10 rating. if you give this anything less than 9 stars, we can fight in the taco bell parking lot",Negative 😠
"Shrek is a green ogre who lives in a swamp, but his king sends him on a mission which he must complete to get his own land back.You only have to watch ten minutes of this film to realise that this is going to be a classic. Eddie Murphy being employed as a wisecracking donkey was a casting dream and plays well against the more plain Shrek, voiced by Mike Myers.Ok the plot is old, new, borrowed and blue (all recaps and references to fairy tales), but I don't care. It is all so much good fun and better than that, the kind of thing that can be enjoyed by young and old, male or female. It is really a dream of movie and some brilliant pop tunes are employed that really work fantastically against the images. Real tear-to-the-eye stuff.A real bliss-out of a movie and all parties should be congratulated for making it so great. A real DVD buyer, because it can be enjoyed over and over again. Bring on the follow up, I can't wait.",Positive 😊
"Shrek is one hell of an animated ride, and right when you're certain you know where to expect the next gag it one ups you. If you need a reason to see Shrek, here is that reason: imagine Eddie Murphy as an annoying not to mention obnoxious talking donkey. Yeah. Eddie Murphy gives Robin Williams a serious run for his money in terms of greatest animated side kick. From there we get Mike Myers voicing a big green ogre, who plays off Eddie Murphy with perfect comedic timing like the two were meant to do this film together.Shrek is merciless in its humor. Targeting everything from fairy tales to Disney films to narrative clichés to bad puns, sliding in its own commentary, all the while giving the typical fantasy story a few modern twists and turns to deliver a strangely original unoriginal story with original unoriginal characters . . . that doesn't make sense, but Shrek does, does it well, and doesn't care. And you never know where this humor is going to come from, either  either visual gag, musical nod, or spoken dialogue. All three provide their share of narrative and commentary to the concepts in Shrek.I think the beauty of Shrek is it's taken the typical fairy tale (which all of us have heard), and it answers the silly 'what if . . .' and 'why don't they ever . . .' questions we tend to ask. But that's not the core of the story - the core of this story is the friendship between Shrek and Donkey, which works in a funny goofball, but touching and unique way. If the audience can buy into Shrek and Donkey's relationship to one another, then they can believe entire film (which more or less focuses on the adventure the two share together). True, Shrek has a love theme . . . but it's Donkey and Shrek who sustain the film through most of the picture.As for Cameran Diaz and John Lithgow, while not on screen as much as our two heroes, still play an important role. I wouldn't want to downplay Lithgow and Diaz who do bring their respective characters to life, but Shrek is a tale about an enduring friendship with a romance story on the side.",Positive 😊
"I love this movie i watch it ever day teh soundtrack is so good i know the script.
This movie butters my apricots and waters my toast. i named my firstborn son Shrek and he is depressed but then he watch shrek all the day and now he happy and also happy is he. my dream is to meet shrek one day and hopefulllly that day is soon. my dog is not a dog he is a donkay. i dont have a dog so actually it is pretty cool so now i have a donkay and not an dog.",Positive 😊
"Once upon a time - not too long ago - a writer had an idea to write a fairy tale made up of various fairy tale characters. And thus, a franchise was born.You can't help but love 'Shrek' - the character and the film. Shrek is one of the most unconventional yet most lovable characters seen in an animated film in a while. His sidekick, Donkey, almost steals the show thanks to his witty dialogue and FANTASTIC voicing by Eddie Murphy. He's just adorable!Together, they embark on a dangerous and exciting journey to save a princess, but for very different reasons you might think. They have absolutely no interest in the princess whatsoever - or, at least, that's what Shrek thought...'Shrek' is a delightful and very funny action adventure film, with several underlying messages. Children will adore the film for its characters and funny moments, while the film will also appeal to a mature audience on a deeper level, which children wont really understand.This is a very clever, excellently executed script. The inclusion of the song 'Hallelujah' was just awesome, and very appropriate. And what a beautiful ending - the stuff fairy tales are made of!! I love it!'Shrek' was a huge box office sensation, earning $506 million on a $60 million budget. It also raked in 99 award nominations, winning 39, including an Oscar for Best Animated Feature. This is a classic!Would I watch it again? Absolutely.",Positive 😊
"Shrek has hidden messages that will likely sail right over the heads of its target audience. The resettlement of the fairly tale creatures in the villainous Farquaad's (ruthless and cruel Anglo-Saxon) kingdom is an allusion to the resettlement of Jews in ghettos carried out by many European principalities during the Middle Ages (at the time of Martin Luther, I think they were expelled from England, France and Spain but tolerated, with restrictions, in some German city states). The filmmakers seem to be suggesting that just as Farquaad did not appreciate the fairy tale creatures and their magical and unique abilities and may have in fact been afraid of them, so, too, were Europeans afraid of Jews and their foreign culture and thus unjustly persecuted them. Apparently, all for no good reason. Shrek, the ogre, of course, represents how the African would have been received in medieval European society. He is feared and misunderstood as a stupid, grotesque, and violent menace. Of course, we are shown that in his private moments, he is anything but these undesirable qualities and his moral fibre transcends his physical ugliness. The fact that the fair princess Fiona is revealed to really be an ogress is to confirm that well worn cliché that we are all the same inside. In a classic fairy tale, which Shrek is the antithesis of, written by someone like Hans Christian Anderson for instance, Farquaad would be the hero, Shrek the villain, and Fiona would indeed be the fairest maiden in all the land.",Negative 😠
"""Shrek"" is fun. People who haven't seen this movie, and are wary of seeing what's popular, should give it a try. It's worth watching, and will probably win you over.Taking a Fractured Fairy Tale approach to a ""Beauty And The Beast""-type plot, throwing in a few mild profanities, flatulence jokes, and Michael Myers' over-the-top faux-Scots accent, ""Shrek"" shows off a very snarky humor, full of jokes that will likely go over the heads of a cartoon's target audience while registering with their parents. 'Sure it's big enough, but look at the location,' Shrek observes upon seeing a giant castle in the middle of nowhere. The kids, though, will love 'Shrek' every bit as much. It's impossible not to be carried along by its merry madness.Myers, as the title character, is certainly easier to take than he was in his last Austin Powers movie, his voice work registering real tenderness as well as the expected laughs as a misunderstood ogre who would rather tell a group of frightened villagers about the cruelties he will inflict on them and their dead bodies than cause those villagers any genuine harm. He's a bit of a softie, actually, and scared to let anyone know it.Cameron Diaz is as beautiful to listen to hear as she is to look at in her other films. Her character, Princess Fiona, doesn't have as much room to shine as Shrek (the balance turns out better in the sequel) but she does well with what she's given.The comic highpoints in terms of voice characterization is Eddie Murphy as Shrek's donkey companion and John Lithgow as nasty Lord Farquaad, who wants to rid his domain of Duloc of all fairy tale creatures. Murphy never stops being funny even as he helps set up key plot moments; in fact he's never been this funny since the first ""Beverly Hills Cop"" movie. ""We can stay up late, swapping manly stories, and in the morning, I'm making waffles,"" the donkey tells a much put-upon Shrek, and you still laugh the fifth time you hear it. Lithgow just makes you smile whenever he opens his mouth, like when he grills a hapless gingerbread man in such a convoluted way it turns into a nursery-rhyme recitation.Why exactly Farquaad is grilling this gingerbread man so closely isn't clear, and there are similar plot holes throughout the movie. Shrek may be too tame a character; we never really feel any worry around him. The donkey falls into a relationship with a dragon that screams ""plot convenience,"" and there are strange little bits of cruelty, like turning a frog and snake into balloons, which just is thrown out there and let be.But the central story, about how Shrek and Fiona struggle to overcome the odds and find true love, is really sweet and well-rendered. The animation is spectacular, a revolution for the eyes in its deep-dish panoramas and remarkable attention to textures. And the jokes keep flying, the major ones as well as hilarious bits of filigree you won't notice the first or second time but reward you for paying attention.This is not a Disney movie, something ""Shrek"" makes very clear not only with its PG-13 humor but its knocks at Disney characters like Snow White and at the Magic Kingdom in the form of Duloc, where an array of ""It's A Small World""-type dolls lecture Shrek and Donkey on all the things NOT to do. Frankly, ""Shrek"" could use a little injection of Disney heart, but Disney could use some of this picture's freshness as well. A very charming movie worth your time.",Positive 😊
"The movie Shrek created in 2001 was definitely one of dream works more eye opening children's films. It is filled with hilarious components for children but also there are some more adult jokes snuck in. I am not sure I am the only one that noticed this but when Lord Farquad tells the mirror to show him a picture of Fiona again, while laying shirtless in bed. He lifts the blanket and casually looks under it. This seems to suggest something is happening in this scene. If you know what I mean.
It has all the parts for an inclusive movie. And the surprising part of the story line that has to do with Fiona is most certainly unexpected and makes the story most not ordinary. When watching this keep in mind that this is not a normal fairy tale.
On the more negative side of things was how the story moved. Throughout the movie everything is very fast pace. The story just being set up, has far too many unnecessary components. This makes the time spent on the more important parts of the story shortened and rushed. And frankly it makes it a little repetitive since it's just one extravagant part of the journey after another. It's almost exhausting.",Positive 😊
"Shrek is a movie like no other.  It stands alone in its appeal to people of all ages and in its presentation of comedy, romance, and creative story line.  Shrek is a delightful comedy about a crude ogre, an energetic princess, a witty donkey and an uptight ruler.    The movie has a brilliant story line, following the path of an initially moody ogre as he discovers friendship and love all in the face of hysterical comedy.  The story line is layered for different levels of understanding; it is an enjoyable film for people of all ages.  One clever tool Shrek uses to humor the audience is its spoof on other fairy tales.  In one scene, Princess Fiona's singing causes a bluebird to explode.  And in another scene, the Magic Mirror's description of Snow White is ""She may live with seven men, but don't be fooled, she's not easy.""  While these subtle comedic lines amuse adults, it is the simple humor, such as the movie opening with the ogre sitting in a swamp ""farting,"" that amuses children.  The amazing cast of Shrek, including Eddie Murphy and Mike Myers does a great job of living up to their comedic expectations. Shrek has something for everyone; it is a great animated tale that is wonderful for adults and children alike.",Positive 😊
